Date,Time,Load (kW),,,,,,,
01.09.2018,0:00,5551.82208,,,,,,,
,1:00,4983.17184,,,,,,,
,2:00,4888.3968,,,,,,,
,3:00,5072.95872,,,,,,,
,4:00,5196.2598,,,,,,,
,5:00,5641.2972,,,,,,,
,6:00,7153.17732,,,,,,,
,7:00,7849.80504,,,,,,,
,8:00,6329.97504,,,,,,,
,9:00,6292.8756,,,,,,,
,10:00,5349.8016,,,,,,,
,11:00,5225.40936,,,,,,,
,12:00,5000.47452,,,,,,,
,13:00,4775.53968,,,,,,,
,14:00,6177.05676,,,,,,,
,15:00,6177.05676,,,,,,,
,16:00,6155.7012,,,,,,,
,17:00,6212.12976,,,,,,,
,18:00,7424.25264,,,,,,,
,19:00,7407.4176,,,,,,,
,20:00,7068.22272,,,,,,,
,21:00,6515.784,,,,,,,
,22:00,6350.08356,,,,,,,
,23:00,5502.25224,,,,,,,
02.09.2018,0:00,4931.2638,,,,,,,
,1:00,4775.53968,,,,,,,
,2:00,4713.8112,,,,,,,
,3:00,4689.02628,,,,,,,
,4:00,4844.7504,,,,,,,
,5:00,5571.46296,,,,,,,
,6:00,6150.71304,,,,,,,
,7:00,6296.30496,,,,,,,
,8:00,6515.16048,,,,,,,
,9:00,6269.64948,,,,,,,
,10:00,5607.0036,,,,,,,
,11:00,5932.7928,,,,,,,
,12:00,5675.5908,,,,,,,
,13:00,5675.27904,,,,,,,
,14:00,5435.5356,,,,,,,
,15:00,5572.71,,,,,,,
,16:00,6023.2032,,,,,,,
,17:00,6110.496,,,,,,,
,18:00,7951.75056,,,,,,,
,19:00,8013.0114,,,,,,,
,20:00,7591.82364,,,,,,,
,21:00,7088.17536,,,,,,,
,22:00,6477.12576,,,,,,,
,23:00,5848.6176,,,,,,,
03.09.2018,0:00,5460.4764,,,,,,,
,1:00,5097.89952,,,,,,,
,2:00,5062.9824,,,,,,,
,3:00,5080.44096,,,,,,,
,4:00,5324.8608,,,,,,,
,5:00,5970.82752,,,,,,,
,6:00,6477.12576,,,,,,,
,7:00,6635.8116,,,,,,,
,8:00,6635.8116,,,,,,,
,9:00,6371.595,,,,,,,
,10:00,6303.63132,,,,,,,
,11:00,6447.1968,,,,,,,
,12:00,6104.2608,,,,,,,
,13:00,5778.4716,,,,,,,
,14:00,5865.60852,,,,,,,
,15:00,5847.0588,,,,,,,
,16:00,6104.2608,,,,,,,
,17:00,6704.3988,,,,,,,
,18:00,7510.2984,,,,,,,
,19:00,7995.0852,,,,,,,
,20:00,7641.2376,,,,,,,
,21:00,5918.45184,,,,,,,
,22:00,6394.04172,,,,,,,
,23:00,5813.70048,,,,,,,
04.09.2018,0:00,5619.00636,,,,,,,
,1:00,5384.40696,,,,,,,
,2:00,5052.38256,,,,,,,
,3:00,5277.3174,,,,,,,
,4:00,5709.8844,,,,,,,
,5:00,6481.4904,,,,,,,
,6:00,7272.73728,,,,,,,
,7:00,7390.2708,,,,,,,
,8:00,7192.92672,,,,,,,
,9:00,6412.9032,,,,,,,
,10:00,6464.3436,,,,,,,
,11:00,6395.7564,,,,,,,
,12:00,4903.9848,,,,,,,
,13:00,6292.8756,,,,,,,
,14:00,6052.8204,,,,,,,
,15:00,6052.8204,,,,,,,
,16:00,6121.4076,,,,,,,
,17:00,6052.8204,,,,,,,
,18:00,8110.4364,,,,,,,
,19:00,8196.1704,,,,,,,
,20:00,8045.7462,,,,,,,
,21:00,7786.206,,,,,,,
,22:00,6746.33052,,,,,,,
,23:00,5935.9104,,,,,,,
05.09.2019,0:00,5447.07072,,,,,,,
,1:00,4713.8112,,,,,,,
,2:00,5002.50096,,,,,,,
,3:00,5037.72984,,,,,,,
,4:00,5865.60852,,,,,,,
,5:00,5984.2332,,,,,,,
,6:00,7474.75776,,,,,,,
,7:00,7205.39712,,,,,,,
,8:00,6548.83056,,,,,,,
,9:00,6001.38,,,,,,,
,10:00,6310.0224,,,,,,,
,11:00,5864.2056,,,,,,,
,12:00,6031.7766,,,,,,,
,13:00,4764.31632,,,,,,,
,14:00,4730.64624,,,,,,,
,15:00,5774.41872,,,,,,,
,16:00,6228.9648,,,,,,,
,17:00,6464.65536,,,,,,,
,18:00,7518.0924,,,,,,,
,19:00,8013.7908,,,,,,,
,20:00,6366.9186,,,,,,,
,21:00,6824.11464,,,,,,,
,22:00,5915.33424,,,,,,,
,23:00,5900.21388,,,,,,,
06.09.2019,0:00,5761.3248,,,,,,,
,1:00,5726.40768,,,,,,,
,2:00,6024.13848,,,,,,,
,3:00,6599.33568,,,,,,,
,4:00,5534.36352,,,,,,,
,5:00,6267.62304,,,,,,,
,6:00,7482.520584,,,,,,,
,7:00,5895.319248,,,,,,,
,8:00,6429.613536,,,,,,,
,9:00,6094.28448,,,,,,,
,10:00,5709.8844,,,,,,,
,11:00,5912.84016,,,,,,,
,12:00,6001.38,,,,,,,
,13:00,5799.484224,,,,,,,
,14:00,5851.11168,,,,,,,
,15:00,6040.412352,,,,,,,
,16:00,7479.20034,,,,,,,
,17:00,7373.124,,,,,,,
,18:00,7630.326,,,,,,,
,19:00,7476.0048,,,,,,,
,20:00,6660.44064,,,,,,,
,21:00,6082.74936,,,,,,,
,22:00,6292.56384,,,,,,,
,23:00,6847.8084,,,,,,,
07.09.2019,0:00,5636.6208,,,,,,,
,1:00,5307.40224,,,,,,,
,2:00,5242.71204,,,,,,,
,3:00,5260.01472,,,,,,,
,4:00,5829.912,,,,,,,
,5:00,6930.4248,,,,,,,
,6:00,7897.03668,,,,,,,
,7:00,7584.18552,,,,,,,
,8:00,4847.24448,,,,,,,
,9:00,5933.41632,,,,,,,
,10:00,6014.47392,,,,,,,
,11:00,5898.4992,,,,,,,
,12:00,6138.5544,,,,,,,
,13:00,6001.38,,,,,,,
,14:00,5744.48976,,,,,,,
,15:00,5709.8844,,,,,,,
,16:00,6073.24068,,,,,,,
,17:00,6807.2796,,,,,,,
,18:00,7818.9408,,,,,,,
,19:00,7870.3812,,,,,,,
,20:00,7716.99528,,,,,,,
,21:00,7094.0988,,,,,,,
,22:00,6384.68892,,,,,,,
,23:00,5640.67368,,,,,,,
08.09.2019,0:00,5346.52812,,,,,,,
,1:00,5138.89596,,,,,,,
,2:00,4940.77248,,,,,,,
,3:00,4766.18688,,,,,,,
,4:00,5020.1154,,,,,,,
,5:00,5588.76564,,,,,,,
,6:00,6436.59696,,,,,,,
,7:00,6978.7476,,,,,,,
,8:00,6643.44972,,,,,,,
,9:00,3907.9116,,,,,,,
,10:00,7154.892,,,,,,,
,11:00,6498.32544,,,,,,,
,12:00,6414.15024,,,,,,,
,13:00,7272.11376,,,,,,,
,14:00,8264.7576,,,,,,,
,15:00,8058.996,,,,,,,
,16:00,7751.60064,,,,,,,
,17:00,7267.1256,,,,,,,
,18:00,6523.11036,,,,,,,
,19:00,5761.79244,,,,,,,
,20:00,5363.8308,,,,,,,
,21:00,5104.2906,,,,,,,
,22:00,4993.14816,,,,,,,
,23:00,5202.65088,,,,,,,
09.09.2019,0:00,5761.3248,,,,,,,
,1:00,5988.28608,,,,,,,
,2:00,6197.7888,,,,,,,
,3:00,6424.75008,,,,,,,
,4:00,6644.22912,,,,,,,
,5:00,6626.4588,,,,,,,
,6:00,6847.34076,,,,,,,
,7:00,6354.60408,,,,,,,
,8:00,6354.60408,,,,,,,
,9:00,6150.71304,,,,,,,
,10:00,5827.88556,,,,,,,
,11:00,5929.83108,,,,,,,
,12:00,6127.95456,,,,,,,
,13:00,6843.75552,,,,,,,
,14:00,8063.04888,,,,,,,
,15:00,8063.04888,,,,,,,
,16:00,8063.04888,,,,,,,
,17:00,6955.67736,,,,,,,
,18:00,6687.252,,,,,,,
,19:00,5709.8844,,,,,,,
,20:00,5554.16028,,,,,,,
,21:00,5450.3442,,,,,,,
,22:00,5294.62008,,,,,,,
,23:00,5208.10668,,,,,,,
10.09.2019,0:00,5260.01472,,,,,,,
,1:00,5420.88288,,,,,,,
,2:00,6094.28448,,,,,,,
,3:00,6683.51088,,,,,,,
,4:00,6717.18096,,,,,,,
,5:00,6750.85104,,,,,,,
,6:00,6835.02624,,,,,,,
,7:00,6919.20144,,,,,,,
,8:00,6700.34592,,,,,,,
,9:00,6447.82032,,,,,,,
,10:00,6422.56776,,,,,,,
,11:00,6456.5496,,,,,,,
,12:00,6354.60408,,,,,,,
,13:00,6473.54052,,,,,,,
,14:00,7051.2318,,,,,,,
,15:00,8546.43276,,,,,,,
,16:00,8393.51448,,,,,,,
,17:00,8291.56896,,,,,,,
,18:00,7170.16824,,,,,,,
,19:00,7526.97756,,,,,,,
,20:00,3381.19308,,,,,,,
,21:00,5415.73884,,,,,,,
,22:00,5277.3174,,,,,,,
,23:00,6288.35508,,,,,,,
11.09.2019,0:00,5865.60852,,,,,,,
,1:00,6099.74028,,,,,,,
,2:00,6065.75844,,,,,,,
,3:00,6082.74936,,,,,,,
,4:00,6966.2772,,,,,,,
,5:00,6439.55868,,,,,,,
,6:00,6473.54052,,,,,,,
,7:00,6430.98528,,,,,,,
,8:00,6750.85104,,,,,,,
,9:00,6584.3712,,,,,,,
,10:00,6464.3436,,,,,,,
,11:00,6412.9032,,,,,,,
,12:00,6303.63132,,,,,,,
,13:00,6652.9584,,,,,,,
,14:00,7306.0956,,,,,,,
,15:00,8529.44184,,,,,,,
,16:00,8648.37828,,,,,,,
,17:00,8648.37828,,,,,,,
,18:00,7645.914,,,,,,,
,19:00,7255.12284,,,,,,,
,20:00,6327.1692,,,,,,,
,21:00,5970.82752,,,,,,,
,22:00,5796.24192,,,,,,,
,23:00,5484.94956,,,,,,,
12.09.2019,0:00,5707.07856,,,,,,,
,1:00,5865.60852,,,,,,,
,2:00,6116.7312,,,,,,,
,3:00,6807.2796,,,,,,,
,4:00,8024.7024,,,,,,,
,5:00,6807.2796,,,,,,,
,6:00,6670.1052,,,,,,,
,7:00,6779.37708,,,,,,,
,8:00,6738.6924,,,,,,,
,9:00,6721.5456,,,,,,,
,10:00,6515.784,,,,,,,
,11:00,6052.8204,,,,,,,
,12:00,6350.08356,,,,,,,
,13:00,6592.32108,,,,,,,
,14:00,7115.922,,,,,,,
,15:00,8179.0236,,,,,,,
,16:00,8218.773,,,,,,,
,17:00,7832.81412,,,,,,,
,18:00,7747.85952,,,,,,,
,19:00,8410.5054,,,,,,,
,20:00,6167.70396,,,,,,,
,21:00,5522.049,,,,,,,
,22:00,5242.71204,,,,,,,
,23:00,5126.8932,,,,,,,
13.09.2019,0:00,5478.09084,,,,,,,
,1:00,5757.58368,,,,,,,
,2:00,6145.41312,,,,,,,
,3:00,7076.79612,,,,,,,
,4:00,7272.11376,,,,,,,
,5:00,7679.89584,,,,,,,
,6:00,7272.73728,,,,,,,
,7:00,6801.35616,,,,,,,
,8:00,6750.85104,,,,,,,
,9:00,6144.7896,,,,,,,
,10:00,6127.95456,,,,,,,
,11:00,6133.72212,,,,,,,
,12:00,6082.74936,,,,,,,
,13:00,6762.38616,,,,,,,
,14:00,7051.2318,,,,,,,
,15:00,8257.89888,,,,,,,
,16:00,8374.49712,,,,,,,
,17:00,8144.73,,,,,,,
,18:00,7218.8028,,,,,,,
,19:00,6921.072,,,,,,,
,20:00,6678.83448,,,,,,,
,21:00,6182.66844,,,,,,,
,22:00,5846.43528,,,,,,,
,23:00,5757.58368,,,,,,,
14.09.2019,0:00,5722.04304,,,,,,,
,1:00,5988.59784,,,,,,,
,2:00,6378.6096,,,,,,,
,3:00,7767.5004,,,,,,,
,4:00,7613.1792,,,,,,,
,5:00,6700.34592,,,,,,,
,6:00,6851.86128,,,,,,,
,7:00,6952.87152,,,,,,,
,8:00,6902.3664,,,,,,,
,9:00,6835.02624,,,,,,,
,10:00,6643.44972,,,,,,,
,11:00,6439.55868,,,,,,,
,12:00,6412.9032,,,,,,,
,13:00,6601.518,,,,,,,
,14:00,7094.0988,,,,,,,
,15:00,8357.19444,,,,,,,
,16:00,8097.65424,,,,,,,
,17:00,7558.93296,,,,,,,
,18:00,7323.08652,,,,,,,
,19:00,6796.368,,,,,,,
,20:00,5433.04152,,,,,,,
,21:00,6232.70592,,,,,,,
,22:00,5778.78336,,,,,,,
,23:00,5604.19776,,,,,,,
15.09.2019,0:00,5918.45184,,,,,,,
,1:00,6127.95456,,,,,,,
,2:00,7611.93216,,,,,,,
,3:00,7629.39072,,,,,,,
,4:00,7769.0592,,,,,,,
,5:00,6531.99552,,,,,,,
,6:00,6885.53136,,,,,,,
,7:00,6296.30496,,,,,,,
,8:00,6784.52112,,,,,,,
,9:00,6818.1912,,,,,,,
,10:00,6683.51088,,,,,,,
,11:00,6717.18096,,,,,,,
,12:00,6813.35892,,,,,,,
,13:00,6745.39524,,,,,,,
,14:00,7390.2708,,,,,,,
,15:00,8602.70544,,,,,,,
,16:00,8624.8404,,,,,,,
,17:00,8504.8128,,,,,,,
,18:00,8189.62344,,,,,,,
,19:00,7832.81412,,,,,,,
,20:00,7085.21364,,,,,,,
,21:00,5467.64688,,,,,,,
,22:00,5329.22544,,,,,,,
,23:00,5467.64688,,,,,,,
16.09.2019,0:00,5502.25224,,,,,,,
,1:00,6021.33264,,,,,,,
,2:00,6111.11952,,,,,,,
,3:00,6784.52112,,,,,,,
,4:00,6893.0136,,,,,,,
,5:00,6932.29536,,,,,,,
,6:00,6286.6404,,,,,,,
,7:00,6609.46788,,,,,,,
,8:00,6541.5042,,,,,,,
,9:00,6337.61316,,,,,,,
,10:00,6395.7564,,,,,,,
,11:00,6618.6648,,,,,,,
,12:00,6618.6648,,,,,,,
,13:00,6567.2244,,,,,,,
,14:00,7098.7752,,,,,,,
,15:00,8607.6936,,,,,,,
,16:00,8607.6936,,,,,,,
,17:00,8590.5468,,,,,,,
,18:00,8710.5744,,,,,,,
,19:00,7613.1792,,,,,,,
,20:00,7218.8028,,,,,,,
,21:00,5571.46296,,,,,,,
,22:00,5519.55492,,,,,,,
,23:00,5640.67368,,,,,,,
17.09.2019,0:00,5900.99328,,,,,,,
,1:00,6354.91584,,,,,,,
,2:00,7384.97088,,,,,,,
,3:00,7696.88676,,,,,,,
,4:00,7696.88676,,,,,,,
,5:00,6796.368,,,,,,,
,6:00,6830.34984,,,,,,,
,7:00,7138.05696,,,,,,,
,8:00,7003.37664,,,,,,,
,9:00,6286.6404,,,,,,,
,10:00,6955.67736,,,,,,,
,11:00,6453.89964,,,,,,,
,12:00,6955.67736,,,,,,,
,13:00,5502.25224,,,,,,,
,14:00,8218.773,,,,,,,
,15:00,8824.3668,,,,,,,
,16:00,8213.3172,,,,,,,
,17:00,8065.85472,,,,,,,
,18:00,7167.3624,,,,,,,
,19:00,6755.8392,,,,,,,
,20:00,6104.2608,,,,,,,
,21:00,5986.72728,,,,,,,
,22:00,5865.60852,,,,,,,
,23:00,5727.18708,,,,,,,
18.09.2019,0:00,5779.09512,,,,,,,
,1:00,5398.43616,,,,,,,
,2:00,6700.34592,,,,,,,
,3:00,7662.90492,,,,,,,
,4:00,7238.13192,,,,,,,
,5:00,6439.55868,,,,,,,
,6:00,6644.22912,,,,,,,
,7:00,6626.92644,,,,,,,
,8:00,6730.74252,,,,,,,
,9:00,6584.3712,,,,,,,
,10:00,6626.92644,,,,,,,
,11:00,6592.32108,,,,,,,
,12:00,6263.57016,,,,,,,
,13:00,6258.582,,,,,,,
,14:00,5555.5632,,,,,,,
,15:00,7962.97392,,,,,,,
,16:00,8264.7576,,,,,,,
,17:00,8058.996,,,,,,,
,18:00,7373.124,,,,,,,
,19:00,7064.4816,,,,,,,
,20:00,6755.8392,,,,,,,
,21:00,5467.64688,,,,,,,
,22:00,5294.62008,,,,,,,
,23:00,5237.568,,,,,,,
19.09.2019,0:00,5156.19864,,,,,,,
,1:00,5624.1504,,,,,,,
,2:00,6292.8756,,,,,,,
,3:00,7340.07744,,,,,,,
,4:00,7321.6836,,,,,,,
,5:00,6721.5456,,,,,,,
,6:00,6755.8392,,,,,,,
,7:00,6395.7564,,,,,,,
,8:00,6367.38624,,,,,,,
,9:00,6367.38624,,,,,,,
,10:00,6429.2706,,,,,,,
,11:00,6394.04172,,,,,,,
,12:00,6358.81284,,,,,,,
,13:00,6429.2706,,,,,,,
,14:00,6499.72836,,,,,,,
,15:00,6696.13716,,,,,,,
,16:00,6319.99872,,,,,,,
,17:00,5986.72728,,,,,,,
,18:00,5623.371,,,,,,,
,19:00,5935.9104,,,,,,,
,20:00,5708.94912,,,,,,,
,21:00,5692.58172,,,,,,,
,22:00,5484.94956,,,,,,,
,23:00,5447.07072,,,,,,,
20.09.2019,0:00,5534.36352,,,,,,,
,1:00,5586.7392,,,,,,,
,2:00,5866.07616,,,,,,,
,3:00,7336.33632,,,,,,,
,4:00,6634.2528,,,,,,,
,5:00,6529.50144,,,,,,,
,6:00,6211.66212,,,,,,,
,7:00,6471.20232,,,,,,,
,8:00,6038.63532,,,,,,,
,9:00,5778.78336,,,,,,,
,10:00,5727.18708,,,,,,,
,11:00,5604.19776,,,,,,,
,12:00,5727.18708,,,,,,,
,13:00,6232.70592,,,,,,,
,14:00,7249.82292,,,,,,,
,15:00,7993.83816,,,,,,,
,16:00,7699.6926,,,,,,,
,17:00,7262.76096,,,,,,,
,18:00,6878.67264,,,,,,,
,19:00,6886.46664,,,,,,,
,20:00,6903.76932,,,,,,,
,21:00,5952.12192,,,,,,,
,22:00,5865.60852,,,,,,,
,23:00,5831.00316,,,,,,,
21.09.2019,0:00,6055.938,,,,,,,
,1:00,6194.35944,,,,,,,
,2:00,5675.27904,,,,,,,
,3:00,5761.79244,,,,,,,
,4:00,6779.37708,,,,,,,
,5:00,5793.90372,,,,,,,
,6:00,5827.88556,,,,,,,
,7:00,5759.92188,,,,,,,
,8:00,5726.40768,,,,,,,
,9:00,5604.19776,,,,,,,
,10:00,5726.40768,,,,,,,
,11:00,5691.49056,,,,,,,
,12:00,5324.8608,,,,,,,
,13:00,5656.57344,,,,,,,
,14:00,7315.13664,,,,,,,
,15:00,6927.3072,,,,,,,
,16:00,6851.86128,,,,,,,
,17:00,6546.96,,,,,,,
,18:00,5866.07616,,,,,,,
,19:00,5639.11488,,,,,,,
,20:00,5342.31936,,,,,,,
,21:00,5225.40936,,,,,,,
,22:00,5260.01472,,,,,,,
,23:00,5606.06832,,,,,,,
22.09.2019,0:00,5623.371,,,,,,,
,1:00,5536.8576,,,,,,,
,2:00,5420.10348,,,,,,,
,3:00,6439.55868,,,,,,,
,4:00,6694.42248,,,,,,,
,5:00,6303.63132,,,,,,,
,6:00,4927.3668,,,,,,,
,7:00,4308.36732,,,,,,,
,8:00,4155.13728,,,,,,,
,9:00,5656.57344,,,,,,,
,10:00,5656.57344,,,,,,,
,11:00,3805.96608,,,,,,,
,12:00,5639.11488,,,,,,,
,13:00,5656.57344,,,,,,,
,14:00,6215.24736,,,,,,,
,15:00,5831.15904,,,,,,,
,16:00,6218.67672,,,,,,,
,17:00,5827.88556,,,,,,,
,18:00,5488.06716,,,,,,,
,19:00,5311.92276,,,,,,,
,20:00,5086.98792,,,,,,,
,21:00,5062.9824,,,,,,,
,22:00,4808.74212,,,,,,,
,23:00,4614.98328,,,,,,,
23.09.2019,0:00,4315.5378,,,,,,,
,1:00,4474.06776,,,,,,,
,2:00,4801.104,,,,,,,
,3:00,5342.31936,,,,,,,
,4:00,5813.70048,,,,,,,
,5:00,5725.94004,,,,,,,
,6:00,5199.22152,,,,,,,
,7:00,5841.75888,,,,,,,
,8:00,5993.27424,,,,,,,
,9:00,6262.63488,,,,,,,
,10:00,5976.4392,,,,,,,
,11:00,5759.92188,,,,,,,
,12:00,5349.8016,,,,,,,
,13:00,5538.4164,,,,,,,
,14:00,5761.3248,,,,,,,
,15:00,7373.74752,,,,,,,
,16:00,7577.95032,,,,,,,
,17:00,7238.13192,,,,,,,
,18:00,6881.3226,,,,,,,
,19:00,6541.5042,,,,,,,
,20:00,5606.06832,,,,,,,
,21:00,5381.13348,,,,,,,
,22:00,5185.19232,,,,,,,
,23:00,4949.65764,,,,,,,
24.09.2019,0:00,4914.42876,,,,,,,
,1:00,4965.86916,,,,,,,
,2:00,5208.10668,,,,,,,
,3:00,6001.38,,,,,,,
,4:00,6936.03648,,,,,,,
,5:00,7070.7168,,,,,,,
,6:00,6771.73896,,,,,,,
,7:00,6204.64752,,,,,,,
,8:00,6144.7896,,,,,,,
,9:00,6178.45968,,,,,,,
,10:00,6018.5268,,,,,,,
,11:00,5932.7928,,,,,,,
,12:00,5812.7652,,,,,,,
,13:00,6320.62224,,,,,,,
,14:00,7509.98664,,,,,,,
,15:00,7929.30384,,,,,,,
,16:00,8325.5508,,,,,,,
,17:00,8384.7852,,,,,,,
,18:00,7373.124,,,,,,,
,19:00,6618.6648,,,,,,,
,20:00,5900.99328,,,,,,,
,21:00,5604.19776,,,,,,,
,22:00,5349.8016,,,,,,,
,23:00,6652.9584,,,,,,,
25.09.2019,0:00,5255.02656,,,,,,,
,1:00,5412.1536,,,,,,,
,2:00,5949.9396,,,,,,,
,3:00,7187.15916,,,,,,,
,4:00,7883.78688,,,,,,,
,5:00,7136.1864,,,,,,,
,6:00,6618.6648,,,,,,,
,7:00,6721.5456,,,,,,,
,8:00,6678.83448,,,,,,,
,9:00,6337.61316,,,,,,,
,10:00,6532.9308,,,,,,,
,11:00,6635.8116,,,,,,,
,12:00,6436.59696,,,,,,,
,13:00,5156.19864,,,,,,,
,14:00,8083.31328,,,,,,,
,15:00,8599.43196,,,,,,,
,16:00,8599.43196,,,,,,,
,17:00,8339.89176,,,,,,,
,18:00,7943.6448,,,,,,,
,19:00,7450.90812,,,,,,,
,20:00,6605.415,,,,,,,
,21:00,5704.27272,,,,,,,
,22:00,5544.33984,,,,,,,
,23:00,5633.19144,,,,,,,
26.09.2019,0:00,5671.84968,,,,,,,
,1:00,5830.37964,,,,,,,
,2:00,6411.65616,,,,,,,
,3:00,7734.14208,,,,,,,
,4:00,5250.19428,,,,,,,
,5:00,6550.0776,,,,,,,
,6:00,6635.8116,,,,,,,
,7:00,6824.4264,,,,,,,
,8:00,6824.4264,,,,,,,
,9:00,6601.518,,,,,,,
,10:00,5881.3524,,,,,,,
,11:00,6567.2244,,,,,,,
,12:00,6378.6096,,,,,,,
,13:00,6575.0184,,,,,,,
,14:00,7526.6658,,,,,,,
,15:00,7818.9408,,,,,,,
,16:00,8080.35156,,,,,,,
,17:00,7907.32476,,,,,,,
,18:00,7577.01504,,,,,,,
,19:00,7192.92672,,,,,,,
,20:00,6756.46272,,,,,,,
,21:00,6250.16448,,,,,,,
,22:00,5900.8374,,,,,,,
,23:00,5830.37964,,,,,,,
27.09.2019,0:00,5900.8374,,,,,,,
,1:00,5971.29516,,,,,,,
,2:00,6059.36736,,,,,,,
,3:00,7578.8856,,,,,,,
,4:00,7098.7752,,,,,,,
,5:00,5892.264,,,,,,,
,6:00,6490.53144,,,,,,,
,7:00,6456.5496,,,,,,,
,8:00,5369.13072,,,,,,,
,9:00,5131.25784,,,,,,,
,10:00,5058.306,,,,,,,
,11:00,5058.306,,,,,,,
,12:00,6354.60408,,,,,,,
,13:00,6966.2772,,,,,,,
,14:00,7781.84136,,,,,,,
,15:00,8518.53024,,,,,,,
,16:00,8501.6952,,,,,,,
,17:00,8325.5508,,,,,,,
,18:00,7665.08724,,,,,,,
,19:00,7227.84384,,,,,,,
,20:00,6808.8384,,,,,,,
,21:00,6217.89732,,,,,,,
,22:00,5813.70048,,,,,,,
,23:00,5513.31972,,,,,,,
28.09.2019,0:00,5460.4764,,,,,,,
,1:00,5654.23524,,,,,,,
,2:00,6446.88504,,,,,,,
,3:00,7315.13664,,,,,,,
,4:00,7646.84928,,,,,,,
,5:00,6762.38616,,,,,,,
,6:00,6728.40432,,,,,,,
,7:00,6558.49512,,,,,,,
,8:00,5229.774,,,,,,,
,9:00,5058.306,,,,,,,
,10:00,5125.80204,,,,,,,
,11:00,5104.2906,,,,,,,
,12:00,4259.88864,,,,,,,
,13:00,3581.65476,,,,,,,
,14:00,4818.2508,,,,,,,
,15:00,3532.2408,,,,,,,
,16:00,8573.4,,,,,,,
,17:00,8053.69608,,,,,,,
,18:00,7664.6196,,,,,,,
,19:00,6995.8944,,,,,,,
,20:00,6481.4904,,,,,,,
,21:00,6110.496,,,,,,,
,22:00,5796.24192,,,,,,,
,23:00,5516.90496,,,,,,,
29.09.2019,0:00,5401.242,,,,,,,
,1:00,5572.71,,,,,,,
,2:00,6344.316,,,,,,,
,3:00,7525.26288,,,,,,,
,4:00,7323.2424,,,,,,,
,5:00,8053.69608,,,,,,,
,6:00,8087.67792,,,,,,,
,7:00,5165.23968,,,,,,,
,8:00,5281.2144,,,,,,,
,9:00,5161.1868,,,,,,,
,10:00,5377.23648,,,,,,,
,11:00,5255.02656,,,,,,,
,12:00,5324.8608,,,,,,,
,13:00,7197.91488,,,,,,,
,14:00,8357.19444,,,,,,,
,15:00,8668.64268,,,,,,,
,16:00,8607.6936,,,,,,,
,17:00,8281.9044,,,,,,,
,18:00,7595.87652,,,,,,,
,19:00,7221.9204,,,,,,,
,20:00,6482.11392,,,,,,,
,21:00,5953.36896,,,,,,,
,22:00,5761.3248,,,,,,,
,23:00,5830.37964,,,,,,,
30.09.2019,0:00,5615.42112,,,,,,,
,1:00,5830.37964,,,,,,,
,2:00,6162.87168,,,,,,,
,3:00,7028.16156,,,,,,,
,4:00,7227.84384,,,,,,,
,5:00,6961.6008,,,,,,,
,6:00,6910.1604,,,,,,,
,7:00,8325.5508,,,,,,,
,8:00,6813.35892,,,,,,,
,9:00,8401.932,,,,,,,
,10:00,8487.666,,,,,,,
,11:00,8487.666,,,,,,,
,12:00,6550.0776,,,,,,,
,13:00,6473.54052,,,,,,,
,14:00,6515.784,,,,,,,
,15:00,8436.2256,,,,,,,
,16:00,8547.52392,,,,,,,
,17:00,7976.53548,,,,,,,
,18:00,8624.52864,,,,,,,
,19:00,7210.38528,,,,,,,
,20:00,6826.29696,,,,,,,
,21:00,6197.7888,,,,,,,
,22:00,5936.06628,,,,,,,
,23:00,5846.43528,,,,,,,
01.10.2019,0:00,6023.2032,,,,,,,
,1:00,5988.59784,,,,,,,
,2:00,6459.6672,,,,,,,
,3:00,7769.0592,,,,,,,
,4:00,7645.914,,,,,,,
,5:00,7543.96848,,,,,,,
